occupation_link_text,url,group,slug
21 Dealer,https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,personal-care-and-service,gaming-services-occupations
3D Animator,https://www.bls.gov/ooh/arts-and-design/multimedia-artists-and-animators.htm,arts-and-design,multimedia-artists-and-animators
3rd Grade Reading Teacher,https://www.bls.gov/ooh/education-training-and-library/kindergarten-and-elementary-school-teachers.htm,education-training-and-library,kindergarten-and-elementary-school-teachers
911 Dispatcher,https://www.bls.gov/ooh/office-and-administrative-support/police-fire-and-ambulance-dispatchers.htm,office-and-administrative-support,police-fire-and-ambulance-dispatchers
A&P Mechanic,https://www.bls.gov/ooh/installation-maintenance-and-repair/aircraft-and-avionics-equipment-mechanics-and-technicians.htm,installation-maintenance-and-repair,aircraft-and-avionics-equipment-mechanics-and-technicians
Able Seaman,https://www.bls.gov/ooh/transportation-and-material-moving/water-transportation-occupations.htm,transportation-and-material-moving,water-transportation-occupations
Absorption and Adsorption Engineer,https://www.bls.gov/ooh/architecture-and-engineering/chemical-engineers.htm,architecture-and-engineering,chemical-engineers
AC/DC Rewinder,https://www.bls.gov/ooh/installation-maintenance-and-repair/electrical-and-electronics-installers-and-repairers.htm,installation-maintenance-and-repair,electrical-and-electronics-installers-and-repairers
Accompanist,https://www.bls.gov/ooh/entertainment-and-sports/musicians-and-singers.htm,entertainment-and-sports,musicians-and-singers
Accountant,https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,business-and-financial,accountants-and-auditors
Accounting Professor,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,education-training-and-library,postsecondary-teachers
Accounts Collector,https://www.bls.gov/ooh/office-and-administrative-support/bill-and-account-collectors.htm,office-and-administrative-support,bill-and-account-collectors
Accounts Receivable Assistant,https://www.bls.gov/ooh/office-and-administrative-support/bookkeeping-accounting-and-auditing-clerks.htm,office-and-administrative-support,bookkeeping-accounting-and-auditing-clerks
Accredited Legal Secretary,https://www.bls.gov/ooh/office-and-administrative-support/secretaries-and-administrative-assistants.htm,office-and-administrative-support,secretaries-and-administrative-assistants
Acoustical Ceiling Installer,https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm,construction-and-extraction,drywall-and-ceiling-tile-installers-and-tapers
Acquisitions Librarian,https://www.bls.gov/ooh/education-training-and-library/librarians.htm,education-training-and-library,librarians
Activities Concierge,https://www.bls.gov/ooh/personal-care-and-service/concierges.htm,personal-care-and-service,concierges
Actors,https://www.bls.gov/ooh/entertainment-and-sports/actors.htm,entertainment-and-sports,actors
