group,slug,url,page_title,median_pay,education,experience,training,jobs_2025,growth,change,openings_per_year,all_occ_median_wage,all_occ_growth_pct,page_last_modified
personal-care-and-service,gaming-services-occupations,https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,Gambling Services Workers,"$37,460     per year
                                        $18.01     per hour",High school diploma or equivalent,See How to Become One,See How to Become One,"146,500",3% (As fast as average),"5,000","20,200","$50,980",3%,"August 27, 2026"
arts-and-design,multimedia-artists-and-animators,https://www.bls.gov/ooh/arts-and-design/multimedia-artists-and-animators.htm,Special Effects Artists and Animators,"$102,030     per year
                                        $49.06     per hour",Bachelor's degree,None,None,"51,900",0% (Little or no change),-100,"4,200","$50,980",3%,"August 27, 2026"
education-training-and-library,kindergarten-and-elementary-school-teachers,https://www.bls.gov/ooh/education-training-and-library/kindergarten-and-elementary-school-teachers.htm,Kindergarten and Elementary School Teachers,"$63,820     per year",Bachelor's degree,None,None,"1,530,500",0% (Little or no change),"-6,100","99,400","$50,980",3%,"August 27, 2026"
office-and-administrative-support,police-fire-and-ambulance-dispatchers,https://www.bls.gov/ooh/office-and-administrative-support/police-fire-and-ambulance-dispatchers.htm,Public Safety Telecommunicators,"$53,040     per year
                                        $25.50     per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,"105,600",4% (As fast as average),"3,900","9,000","$50,980",3%,"August 27, 2026"
installation-maintenance-and-repair,aircraft-and-avionics-equipment-mechanics-and-technicians,https://www.bls.gov/ooh/installation-maintenance-and-repair/aircraft-and-avionics-equipment-mechanics-and-technicians.htm,Aircraft and Avionics Equipment Mechanics and Technicians,"$80,180     per year
                                        $38.55     per hour",Postsecondary nondegree award,None,None,"159,800",6% (Faster than average),"9,400","13,100","$50,980",3%,"August 27, 2026"
transportation-and-material-moving,water-transportation-occupations,https://www.bls.gov/ooh/transportation-and-material-moving/water-transportation-occupations.htm,Water Transportation Workers,"$71,860     per year
                                        $34.55     per hour",See How to Become One,See How to Become One,See How to Become One,"85,900",4% (As fast as average),"3,100","8,600","$50,980",3%,"August 27, 2026"
architecture-and-engineering,chemical-engineers,https://www.bls.gov/ooh/architecture-and-engineering/chemical-engineers.htm,Chemical Engineers,"$125,040     per year
                                        $60.12     per hour",Bachelor's degree,None,None,"21,900",5% (Faster than average),"1,000","1,100","$50,980",3%,"August 27, 2026"
installation-maintenance-and-repair,electrical-and-electronics-installers-and-repairers,https://www.bls.gov/ooh/installation-maintenance-and-repair/electrical-and-electronics-installers-and-repairers.htm,Electrical and Electronics Installers and Repairers,"$74,490     per year
                                        $35.81     per hour",See How to Become One,See How to Become One,See How to Become One,"117,700",2% (Slower than average),"2,000","8,900","$50,980",3%,"August 27, 2026"
entertainment-and-sports,musicians-and-singers,https://www.bls.gov/ooh/entertainment-and-sports/musicians-and-singers.htm,Musicians and Singers,$47.80     per hour,No formal educational credential,None,Long-term on-the-job training,"170,400",0% (Little or no change),600,"17,400",NA,3%,"August 27, 2026"
business-and-financial,accountants-and-auditors,https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,Accountants and Auditors,"$83,680     per year
                                        $40.23     per hour",Bachelor's degree,None,None,"1,595,200",5% (Faster than average),"79,400","115,300","$50,980",3%,"August 27, 2026"
education-training-and-library,postsecondary-teachers,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,Postsecondary Teachers,"$85,330     per year",See How to Become One,See How to Become One,None,"1,378,200",7% (Much faster than average),"98,200","103,300","$50,980",3%,"August 27, 2026"
office-and-administrative-support,bill-and-account-collectors,https://www.bls.gov/ooh/office-and-administrative-support/bill-and-account-collectors.htm,Bill and Account Collectors,"$47,030     per year
                                        $22.61     per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,"160,200",-10% (Decline),"-16,700","11,200","$50,980",3%,"August 27, 2026"
office-and-administrative-support,bookkeeping-accounting-and-auditing-clerks,https://www.bls.gov/ooh/office-and-administrative-support/bookkeeping-accounting-and-auditing-clerks.htm,"Bookkeeping, Accounting, and Auditing Clerks","$50,670     per year
                                        $24.36     per hour","Some college, no degree",None,Moderate-term on-the-job training,"1,532,400",-6% (Decline),"-85,600","144,100","$50,980",3%,"August 27, 2026"
office-and-administrative-support,secretaries-and-administrative-assistants,https://www.bls.gov/ooh/office-and-administrative-support/secretaries-and-administrative-assistants.htm,Secretaries and Administrative Assistants,"$48,310     per year
                                        $23.23     per hour",High school diploma or equivalent,See How to Become One,See How to Become One,"3,515,600",-2% (Decline),"-75,300","314,400","$50,980",3%,"August 27, 2026"
construction-and-extraction,drywall-and-ceiling-tile-installers-and-tapers,https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm,"Drywall Installers, Ceiling Tile Installers, and Tapers","$59,780     per year
                                        $28.74     per hour",No formal educational credential,None,Moderate-term on-the-job training,"118,000",2% (Slower than average),"2,300","7,600","$50,980",3%,"August 27, 2026"
education-training-and-library,librarians,https://www.bls.gov/ooh/education-training-and-library/librarians.htm,Librarians and Library Media Specialists,"$68,270     per year
                                        $32.82     per hour",Master's degree,None,None,"142,300",3% (As fast as average),"3,600","12,600","$50,980",3%,"August 27, 2026"
