group,slug,url,status
personal-care-and-service,gaming-services-occupations,https://www.bls.gov/ooh/personal-care-and-service/gaming-services-occupations.htm,cached
arts-and-design,multimedia-artists-and-animators,https://www.bls.gov/ooh/arts-and-design/multimedia-artists-and-animators.htm,cached
education-training-and-library,kindergarten-and-elementary-school-teachers,https://www.bls.gov/ooh/education-training-and-library/kindergarten-and-elementary-school-teachers.htm,cached
office-and-administrative-support,police-fire-and-ambulance-dispatchers,https://www.bls.gov/ooh/office-and-administrative-support/police-fire-and-ambulance-dispatchers.htm,cached
installation-maintenance-and-repair,aircraft-and-avionics-equipment-mechanics-and-technicians,https://www.bls.gov/ooh/installation-maintenance-and-repair/aircraft-and-avionics-equipment-mechanics-and-technicians.htm,cached
transportation-and-material-moving,water-transportation-occupations,https://www.bls.gov/ooh/transportation-and-material-moving/water-transportation-occupations.htm,cached
architecture-and-engineering,chemical-engineers,https://www.bls.gov/ooh/architecture-and-engineering/chemical-engineers.htm,cached
installation-maintenance-and-repair,electrical-and-electronics-installers-and-repairers,https://www.bls.gov/ooh/installation-maintenance-and-repair/electrical-and-electronics-installers-and-repairers.htm,cached
entertainment-and-sports,musicians-and-singers,https://www.bls.gov/ooh/entertainment-and-sports/musicians-and-singers.htm,cached
business-and-financial,accountants-and-auditors,https://www.bls.gov/ooh/business-and-financial/accountants-and-auditors.htm,cached
education-training-and-library,postsecondary-teachers,https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,cached
office-and-administrative-support,bill-and-account-collectors,https://www.bls.gov/ooh/office-and-administrative-support/bill-and-account-collectors.htm,cached
office-and-administrative-support,bookkeeping-accounting-and-auditing-clerks,https://www.bls.gov/ooh/office-and-administrative-support/bookkeeping-accounting-and-auditing-clerks.htm,cached
office-and-administrative-support,secretaries-and-administrative-assistants,https://www.bls.gov/ooh/office-and-administrative-support/secretaries-and-administrative-assistants.htm,cached
construction-and-extraction,drywall-and-ceiling-tile-installers-and-tapers,https://www.bls.gov/ooh/construction-and-extraction/drywall-and-ceiling-tile-installers-and-tapers.htm,cached
education-training-and-library,librarians,https://www.bls.gov/ooh/education-training-and-library/librarians.htm,cached
personal-care-and-service,concierges,https://www.bls.gov/ooh/personal-care-and-service/concierges.htm,cached
entertainment-and-sports,actors,https://www.bls.gov/ooh/entertainment-and-sports/actors.htm,cached
math,actuaries,https://www.bls.gov/ooh/math/actuaries.htm,cached
healthcare,nurse-anesthetists-nurse-midwives-and-nurse-practitioners,https://www.bls.gov/ooh/healthcare/nurse-anesthetists-nurse-midwives-and-nurse-practitioners.htm,cached
community-and-social-service,substance-abuse-behavioral-disorder-and-mental-health-counselors,https://www.bls.gov/ooh/community-and-social-service/substance-abuse-behavioral-disorder-and-mental-health-counselors.htm,cached
healthcare,physicians-and-surgeons,https://www.bls.gov/ooh/healthcare/physicians-and-surgeons.htm,cached
community-and-social-service,social-and-human-service-assistants,https://www.bls.gov/ooh/community-and-social-service/social-and-human-service-assistants.htm,cached
office-and-administrative-support,general-office-clerks,https://www.bls.gov/ooh/office-and-administrative-support/general-office-clerks.htm,cached
legal,judges-and-hearing-officers,https://www.bls.gov/ooh/legal/judges-and-hearing-officers.htm,cached
management,administrative-services-managers,https://www.bls.gov/ooh/management/administrative-services-managers.htm,cached
management,top-executives,https://www.bls.gov/ooh/management/top-executives.htm,cached
community-and-social-service,school-and-career-counselors,https://www.bls.gov/ooh/community-and-social-service/school-and-career-counselors.htm,cached
office-and-administrative-support,information-clerks,https://www.bls.gov/ooh/office-and-administrative-support/information-clerks.htm,cached
construction-and-extraction,brickmasons-blockmasons-and-stonemasons,https://www.bls.gov/ooh/construction-and-extraction/brickmasons-blockmasons-and-stonemasons.htm,cached
construction-and-extraction,construction-laborers-and-helpers,https://www.bls.gov/ooh/construction-and-extraction/construction-laborers-and-helpers.htm,cached
education-training-and-library,adult-literacy-and-ged-teachers,https://www.bls.gov/ooh/education-training-and-library/adult-literacy-and-ged-teachers.htm,cached
education-training-and-library,teacher-assistants,https://www.bls.gov/ooh/education-training-and-library/teacher-assistants.htm,cached
community-and-social-service,social-workers,https://www.bls.gov/ooh/community-and-social-service/social-workers.htm,cached
management,advertising-promotions-and-marketing-managers,https://www.bls.gov/ooh/management/advertising-promotions-and-marketing-managers.htm,cached
sales,advertising-sales-agents,https://www.bls.gov/ooh/sales/advertising-sales-agents.htm,cached
business-and-financial,market-research-analysts,https://www.bls.gov/ooh/business-and-financial/market-research-analysts.htm,cached
media-and-communication,writers-and-authors,https://www.bls.gov/ooh/media-and-communication/writers-and-authors.htm,cached
media-and-communication,editors,https://www.bls.gov/ooh/media-and-communication/editors.htm,cached
media-and-communication,photographers,https://www.bls.gov/ooh/media-and-communication/photographers.htm,cached
transportation-and-material-moving,airline-and-commercial-pilots,https://www.bls.gov/ooh/transportation-and-material-moving/airline-and-commercial-pilots.htm,cached
personal-care-and-service,fitness-trainers-and-instructors,https://www.bls.gov/ooh/personal-care-and-service/fitness-trainers-and-instructors.htm,cached
architecture-and-engineering,aerospace-engineers,https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineers.htm,cached
architecture-and-engineering,drafters,https://www.bls.gov/ooh/architecture-and-engineering/drafters.htm,cached
architecture-and-engineering,aerospace-engineering-and-operations-technicians,https://www.bls.gov/ooh/architecture-and-engineering/aerospace-engineering-and-operations-technicians.htm,cached
sales,sales-engineers,https://www.bls.gov/ooh/sales/sales-engineers.htm,cached
legal,lawyers,https://www.bls.gov/ooh/legal/lawyers.htm,cached
life-physical-and-social-science,agricultural-and-food-science-technicians,https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-science-technicians.htm,cached
life-physical-and-social-science,agricultural-and-food-scientists,https://www.bls.gov/ooh/life-physical-and-social-science/agricultural-and-food-scientists.htm,cached
life-physical-and-social-science,chemists-and-materials-scientists,https://www.bls.gov/ooh/life-physical-and-social-science/chemists-and-materials-scientists.htm,cached
management,farmers-ranchers-and-other-agricultural-managers,https://www.bls.gov/ooh/management/farmers-ranchers-and-other-agricultural-managers.htm,cached
life-physical-and-social-science,economists,https://www.bls.gov/ooh/life-physical-and-social-science/economists.htm,cached
architecture-and-engineering,agricultural-engineers,https://www.bls.gov/ooh/architecture-and-engineering/agricultural-engineers.htm,cached
